1
John D. Rockefeller
Andrew Carnegie
Cornelius Vanderbilt
Henry Ford
J.P. Morgan
William Randolph Hearst
Larry Ellison
Steve Jobs
Bill Gates
Carlos Slim Helu
Rupert Murdoch
Sumner Redstone
Kirk Kerkorian
Ted Turner
Sheldon Adelson
Carl Icahn
Donald Trump
Barry Diller
Lew Wasserman
George Soros
Richard Branson
Warren Buffett
Bernard Arnault
Roman Abramovich
Li Ka-shing
Vladimir Putin
Mikhail Khodorkovsky
Oleg Deripaska
Boris Berezovsky
Rinat Akhmetov
Aliko Dangote
Lakshmi Mittal
Viktor Vekselberg
Paul Allen
Phil Knight
Lee Shau Kee
Prince Alwaleed bin Talal
Joseph Safra
Micky Arison
Shahid Khan
Silvio Berlusconi
Stanley Ho
Charles Koch
David Koch
Francois Pinault
Serge Dassault
Sunil Mittal
Vladimir Lisin
Eike Batista
Stefan Persson
Ray Dalio
Michael Dell
Tadashi Yanai
James Packer
Isabel dos Santos
Mukesh Ambani
Anil Ambani
Leonard Lauder
Stefan Quandt
Susanne Klatten
Azim Premji
Christy Walton
Jim Walton
S. Robson Walton
Larry Page
Sergey Brin
Mark Zuckerberg
Eduardo Saverin
Ma Huateng
Jack Ma
Wang Jianlin
Elon Musk
Jeff Bezos
Masayoshi Son
Peter Thiel
Lucas Walton
Stewart and Lynda Resnick
Nicky Oppenheimer
Mike Adenuga
Terry Gou
Gina Rinehart
Andrey Melnichenko
Igor Kolomoisky
Vagit Alekperov
Ernesto Bertarelli
Dietrich Mateschitz
