2
Steve Jobs
Bill Gates
Larry Ellison
Travis Kalanick
Elizabeth Holmes
Mark Zuckerberg
John D. Rockefeller
Andrew Carnegie
J.P. Morgan
Cornelius Vanderbilt
Henry Ford
Thomas Edison
Rupert Murdoch
Ray Kroc
Sumner Redstone
Pierre Omidyar
Ted Turner
Barry Diller
William Randolph Hearst
Lew Wasserman
Carl Icahn
T. Boone Pickens
George Soros
Sam Walton
Jack Ma
Jeff Bezos
Larry Page
Sergey Brin
Elon Musk
Richard Branson
Bob Iger
John Malone
Brian Roberts
Oprah Winfrey
Ralph Lauren
Calvin Klein
Tommy Hilfiger
Giorgio Armani
Karl Lagerfeld
Martha Stewart
Philo Farnsworth
Suge Knight
Diddy (Sean Combs)
Jay-Z
David Geffen
Lyndon B. Johnson (before his political career)
Michael Bloomberg
Warren Buffett
Ross Perot
Sheldon Adelson
Richard DeVos
David Koch
Charles Koch
Fred Smith
Howard Hughes
Masayoshi Son
Ratan Tata
Lakshmi Mittal
Carlos Slim Helu
Robert Maxwell
Conrad Black
Rupert Loman
Frank Lorenzo
Kirk Kerkorian
Ivan Boesky
Michael Milken
Jeff Skilling
Kenneth Lay
Bernard Ebbers
John DeLorean
Vijay Mallya
Martin Shkreli
Robert Nardelli
Scott McNealy
Jerry Yang
Don King
Dana White
Vince McMahon
Richard Scrushy
Herb Kelleher
Leo Kirch
Silvio Berlusconi
Sumner Redstone
Philip Green
Anil Ambani
Jim Balsillie
Mike Lazaridis
Richard Schulze
Stelios Haji-Ioannou
Michael Ovitz
Eike Batista
Napoleon Hill
Jho Low
Harland Sanders
Jim Clark
Evan Spiegel
Bobby Kotick
Adolf Dassler
Rudolf Dassler
Allen Stanford
